"";"UN";"year";"month";"elec_id";"country.x";"date.x";"presidential";"legislative_type";"elecrule";"tier1_formula";"tier2_formula";"tier3_formula";"tier4_formula";"mixed_type";"multi";"multi_linked";"seats";"tier1_avemag";"tier1_districts";"upperseats";"uppertier";"tier2_districts";"tier3_districts";"tier4_districts";"enep";"enep_others";"enep1";"enpp";"enpp_others";"enpp1";"enpres";"preselecrule";"region1";"region2";"region3";"aclp_code";"ccode";"ccode2";"day";"regime";"secondround";"thirdround";"X1.x";"varmag";"sdmag";"memag";"country.y";"X1.y";"country";"date.y";"EthAl";"scode";"sname";"cow"
"11";28;2004;"3";"L-AAB-2004-3-23";"Antigua & Barbuda";"23-Mar-04";0;1;1;1;NA;NA;NA;NA;0;0;17;1;17;0;0;0;0;0;2,07;2;2,071286358;1,8;0;1,8;NA;NA;8;8;7;144;58;58;"23";0;NA;NA;979;0;0;1;"Antigua and Barbuda";7;"Antigua and Barbuda";"1994";".1642560000000001";"58";"Antigua and Barbuda";"58"
"12";28;2009;"3";"L-AAB-2009-3-12";"Antigua & Barbuda";"12-Mar-09";0;1;1;1;NA;NA;NA;NA;0;0;17;1;17;0;0;0;0;0;2,07;0,5;2,070074989;2,21;0;2,21;NA;NA;8;8;7;144;58;58;"12";0;NA;NA;1153;0;0;1;"Antigua and Barbuda";7;"Antigua and Barbuda";"1994";".1642560000000001";"58";"Antigua and Barbuda";"58"
"13";28;1994;"3";"L-AAB-1994-3-8";"Antigua & Barbuda";"8-Mar-94";0;1;1;1;NA;NA;NA;NA;0;0;17;1;17;0;0;0;0;0;2,07;0;2,07;1,97;0;1,97;NA;NA;8;8;7;144;58;58;"8";0;NA;NA;707;0;0;1;"Antigua and Barbuda";7;"Antigua and Barbuda";"1994";".1642560000000001";"58";"Antigua and Barbuda";"58"
"14";28;1989;"3";"L-AAB-1989-3-9";"Antigua & Barbuda";"9-Mar-89";0;1;1;1;NA;NA;NA;NA;0;0;17;1;17;0;0;0;0;0;1,98;0,9;1,98;1,27;0;1,27;NA;NA;8;8;7;144;58;58;"9";0;NA;NA;582;0;0;1;"Antigua and Barbuda";7;"Antigua and Barbuda";"1994";".1642560000000001";"58";"Antigua and Barbuda";"58"
"15";28;1984;"4";"L-AAB-1984-4-17";"Antigua & Barbuda";"17-Apr-84";0;1;1;1;NA;NA;NA;NA;0;0;17;1;17;0;0;0;0;0;1,92;7,2;1,94;1,12;5,9;1,13;NA;NA;8;8;7;144;58;58;"17";0;NA;NA;502;0;0;1;"Antigua and Barbuda";7;"Antigua and Barbuda";"1994";".1642560000000001";"58";"Antigua and Barbuda";"58"
"16";32;1985;"11";"L-ARG-1985-11-3";"Argentina";"3-Nov-85";0;2;9;25;NA;NA;NA;NA;0;0;254;5,29;24;0;0;0;0;0;4,24;1,9;4,24;3,36;0;3,36;NA;NA;7;7;7;66;160;160;"3";2;NA;NA;521;NA;NA;NA;"Argentina";8;"Argentina";"1986";".255";"160";"Argentina";"160"
"17";32;1987;"9";"L-ARG-1987-9-6";"Argentina";"6-Sep-87";0;2;9;25;NA;NA;NA;NA;0;0;254;5,29;23;0;0;0;0;0;3,14;0,75;3,14;2,63;0;2,63;NA;NA;7;7;7;66;160;160;"6";2;NA;NA;551;NA;NA;NA;"Argentina";8;"Argentina";"1986";".255";"160";"Argentina";"160"
"18";32;1983;"10";"L-ARG-1983-10-30";"Argentina";"30-Oct-83";0;2;9;25;NA;NA;NA;NA;0;0;254;10,58;24;0;0;0;0;0;2,63;0;2,63;2,19;0;2,19;NA;NA;7;7;7;66;160;160;"30";2;NA;NA;484;NA;NA;NA;"Argentina";8;"Argentina";"1986";".255";"160";"Argentina";"160"
"19";32;1995;"5";"L-ARG-1995-5-14";"Argentina";"14-May-95";0;2;9;25;NA;NA;NA;NA;0;0;257;5,42;24;0;0;0;0;0;3,58;1,65;3,58;2,81;0,77;2,81;NA;NA;7;7;7;66;160;160;"14";2;NA;NA;735;NA;NA;NA;"Argentina";8;"Argentina";"1986";".255";"160";"Argentina";"160"
"20";32;1997;"10";"L-ARG-1997-10-26";"Argentina";"26-Oct-97";0;2;9;25;NA;NA;NA;NA;0;0;257;5,29;24;0;0;0;0;0;3,65;5,83;3,65;3,33;0;3,33;NA;NA;7;7;7;66;160;160;"26";2;NA;NA;786;NA;NA;NA;"Argentina";8;"Argentina";"1986";".255";"160";"Argentina";"160"
"21";32;1993;"10";"L-ARG-1993-10-3";"Argentina";"3-Oct-93";0;2;9;25;NA;NA;NA;NA;0;0;257;5,29;24;0;0;0;0;0;3,37;0,53;3,37;2,7;0;2,7;NA;NA;7;7;7;66;160;160;"3";2;NA;NA;681;NA;NA;NA;"Argentina";8;"Argentina";"1986";".255";"160";"Argentina";"160"
"22";32;2011;"10";"L-ARG-2011-10-23";"Argentina";"23-Oct-11";0;2;9;25;NA;NA;NA;NA;0;0;257;5,42;24;0;0;0;0;0;3,75;30;4,53;4,28;2;4,28;NA;NA;7;7;7;66;160;160;"23";2;NA;NA;1227;NA;NA;NA;"Argentina";8;"Argentina";"1986";".255";"160";"Argentina";"160"
"23";32;2013;"10";"L-ARG-2013-10-27";"Argentina";"27-Oct-13";0;2;9;25;NA;NA;NA;NA;0;0;257;5,42;24;0;NA;0;0;0;4,652134;0;4,652134;4,343927;0;4,343927;NA;NA;7;7;7;66;160;160;"27";2;NA;NA;1306;NA;NA;NA;"Argentina";8;"Argentina";"1986";".255";"160";"Argentina";"160"
"24";32;1989;"5";"L-ARG-1989-5-14";"Argentina";"14-May-89";0;2;9;25;NA;NA;NA;NA;0;0;254;5,29;24;0;0;0;0;0;3,35;0,66;3,35;2,71;0;2,71;NA;NA;7;7;7;66;160;160;"14";2;NA;NA;585;NA;NA;NA;"Argentina";8;"Argentina";"1986";".255";"160";"Argentina";"160"
"25";32;2009;"6";"L-ARG-2009-6-28";"Argentina";"28-Jun-09";0;2;9;25;NA;NA;NA;NA;0;0;257;5,29;24;0;0;0;0;0;6,62;17,5;7,34;3,89;9,338521401;3,958298963;NA;NA;7;7;7;66;160;160;"28";2;NA;NA;1156;47,3260869565217;6,87939582787047;5,25;"Argentina";8;"Argentina";"1986";".255";"160";"Argentina";"160"
"26";32;1999;"10";"L-ARG-1999-10-24";"Argentina";"24-Oct-99";0;2;9;25;NA;NA;NA;NA;0;0;257;5,42;24;0;0;0;0;0;3,15;8,61;3,225;2,57;0;2,57;NA;NA;7;7;7;66;160;160;"24";2;NA;NA;837;NA;NA;NA;"Argentina";8;"Argentina";"1986";".255";"160";"Argentina";"160"
"27";32;2001;"10";"L-ARG-2001-10-14";"Argentina";"14-Oct-01";0;2;9;25;NA;NA;NA;NA;0;0;257;5,29;24;0;0;0;0;0;4,66;10,3;4,869394081;2,84;0,389105058;2,84006106;NA;NA;7;7;7;66;160;160;"14";2;NA;NA;893;NA;NA;NA;"Argentina";8;"Argentina";"1986";".255";"160";"Argentina";"160"
"28";32;2015;"10";"L-ARG-2015-10-25";"Argentina";"25-Oct-15";0;2;9;25;NA;NA;NA;NA;0;0;257;5,42;24;0;NA;0;0;0;-99;-99;-99;3,070862;0;3,070862;NA;NA;7;7;7;66;160;160;"25";2;NA;NA;1379;46,4275362318841;6,81377547559971;5,41666666666667;"Argentina";8;"Argentina";"1986";".255";"160";"Argentina";"160"
"29";32;2003;"4";"L-ARG-2003-4-27";"Argentina";"27-Apr-03";0;2;9;25;NA;NA;NA;NA;0;0;257;5,42;24;0;0;0;0;0;4,61;25,8;6,617004911;4,09;5,058365759;4,12464934;NA;NA;7;7;7;66;160;160;"27";2;NA;NA;954;NA;NA;NA;"Argentina";8;"Argentina";"1986";".255";"160";"Argentina";"160"
"30";32;2007;"10";"L-ARG-2007-10-28";"Argentina";"28-Oct-07";0;2;9;25;NA;NA;NA;NA;0;0;257;5,42;24;0;0;0;0;0;-99;-99;-99;3,19;7,392996109;3,474679576;NA;NA;7;7;7;66;160;160;"28";2;NA;NA;1082;NA;NA;NA;"Argentina";8;"Argentina";"1986";".255";"160";"Argentina";"160"
"31";32;2005;"10";"L-ARG-2005-10-23";"Argentina";"23-Oct-05";0;2;9;25;NA;NA;NA;NA;0;0;257;5,29;24;0;0;0;0;0;6,16;21,5;8,572823322;5,81;2,723735409;5,825906505;NA;NA;7;7;7;66;160;160;"23";2;NA;NA;1015;NA;NA;NA;"Argentina";8;"Argentina";"1986";".255";"160";"Argentina";"160"
"32";36;1949;"12";"L-AUL-1949-12-10";"Australia";"10-Dec-49";0;1;3;5;NA;NA;NA;NA;0;0;121;1;121;0;0;0;0;0;2,64;2,2;2,64;2,62;0;2,62;NA;NA;10;5;3;129;900;900;"10";0;NA;NA;30;0;0;1;"Australia";11;"Australia";"1986";".0929019999999999";"900";"Australia";"900"
"33";36;1951;"4";"L-AUL-1951-4-28";"Australia";"28-Apr-51";0;1;3;5;NA;NA;NA;NA;0;0;121;1;121;0;0;0;0;0;2,49;1;2,49;2,56;0;2,56;NA;NA;10;5;3;129;900;900;"28";0;NA;NA;54;0;0;1;"Australia";11;"Australia";"1986";".0929019999999999";"900";"Australia";"900"
"34";36;1946;"9";"L-AUL-1946-9-28";"Australia";"28-Sep-46";0;1;3;5;NA;NA;NA;NA;0;0;74;1;74;0;0;0;0;0;2,74;2,3;2,74;2,4;1,4;2,4;NA;NA;10;5;3;129;900;900;"28";0;NA;NA;4;0;0;1;"Australia";11;"Australia";"1986";".0929019999999999";"900";"Australia";"900"
"35";36;1958;"11";"L-AUL-1958-11-22";"Australia";"22-Nov-58";0;1;3;5;NA;NA;NA;NA;0;0;122;1;122;0;0;0;0;0;2,97;0,7;2,97;2,59;0;2,59;NA;NA;10;5;3;129;900;900;"22";0;NA;NA;140;0;0;1;"Australia";11;"Australia";"1986";".0929019999999999";"900";"Australia";"900"
"36";36;1961;"12";"L-AUL-1961-12-9";"Australia";"9-Dec-61";0;1;3;5;NA;NA;NA;NA;0;0;122;1;122;0;0;0;0;0;2,81;0,9;2,81;2,52;0;2,52;NA;NA;10;5;3;129;900;900;"9";0;NA;NA;175;0;0;1;"Australia";11;"Australia";"1986";".0929019999999999";"900";"Australia";"900"
"37";36;1955;"12";"L-AUL-1955-12-10";"Australia";"10-Dec-55";0;1;3;5;NA;NA;NA;NA;0;0;122;1;122;0;0;0;0;0;2,73;1,4;2,735;2,58;0;2,58;NA;NA;10;5;3;129;900;900;"10";0;NA;NA;104;0;0;1;"Australia";11;"Australia";"1986";".0929019999999999";"900";"Australia";"900"
"38";36;1977;"12";"L-AUL-1977-12-10";"Australia";"10-Dec-77";0;1;3;5;NA;NA;NA;NA;0;0;124;1;124;0;0;0;0;0;3,11;1,1;3,115;2,45;0;2,45;NA;NA;10;5;3;129;900;900;"10";0;NA;NA;392;0;0;1;"Australia";11;"Australia";"1986";".0929019999999999";"900";"Australia";"900"
"39";36;1980;"10";"L-AUL-1980-10-18";"Australia";"18-Oct-80";0;1;3;5;NA;NA;NA;NA;0;0;125;1;125;0;0;0;0;0;2,81;1,3;2,81;2,64;0;2,64;NA;NA;10;5;3;129;900;900;"18";0;NA;NA;440;0;0;1;"Australia";11;"Australia";"1986";".0929019999999999";"900";"Australia";"900"
"40";36;1954;"5";"L-AUL-1954-5-29";"Australia";"29-May-54";0;1;3;5;NA;NA;NA;NA;0;0;121;1;121;0;0;0;0;0;2,46;1,7;2,46;2,55;0;2,55;NA;NA;10;5;3;129;900;900;"29";0;NA;NA;90;0;0;1;"Australia";11;"Australia";"1986";".0929019999999999";"900";"Australia";"900"
"41";36;1975;"12";"L-AUL-1975-12-13";"Australia";"13-Dec-75";0;1;3;5;NA;NA;NA;NA;0;0;127;1;127;0;0;0;0;0;2,69;1,4;2,7;2,51;0;2,51;NA;NA;10;5;3;129;900;900;"13";0;NA;NA;363;0;0;1;"Australia";11;"Australia";"1986";".0929019999999999";"900";"Australia";"900"
"42";36;1987;"7";"L-AUL-1987-7-11";"Australia";"11-Jul-87";0;1;3;5;NA;NA;NA;NA;0;0;148;1;148;0;0;0;0;0;2,9;2;3,02;2,28;0;2,28;NA;NA;10;5;3;129;900;900;"11";0;NA;NA;553;0;0;1;"Australia";11;"Australia";"1986";".0929019999999999";"900";"Australia";"900"
"43";36;1990;"3";"L-AUL-1990-3-24";"Australia";"24-Mar-90";0;1;3;5;NA;NA;NA;NA;0;0;148;1;148;0;0;0;0;0;3,33;5,9;3,34;2,35;0,7;2,35;NA;NA;10;5;3;129;900;900;"24";0;NA;NA;617;0;0;1;"Australia";11;"Australia";"1986";".0929019999999999";"900";"Australia";"900"
"44";36;1983;"3";"L-AUL-1983-3-5";"Australia";"5-Mar-83";0;1;3;5;NA;NA;NA;NA;0;0;125;1;125;0;0;0;0;0;2,67;1,4;2,67;2,23;0;2,23;NA;NA;10;5;3;129;900;900;"5";0;NA;NA;486;0;0;1;"Australia";11;"Australia";"1986";".0929019999999999";"900";"Australia";"900"
"45";36;1984;"12";"L-AUL-1984-12-1";"Australia";"1-Dec-84";0;1;3;5;NA;NA;NA;NA;0;0;148;1;148;0;0;0;0;0;2,79;1,1;2,79;2,38;0;2,38;NA;NA;10;5;3;129;900;900;"1";0;NA;NA;506;0;0;1;"Australia";11;"Australia";"1986";".0929019999999999";"900";"Australia";"900"
"46";36;1966;"11";"L-AUL-1966-11-26";"Australia";"26-Nov-66";0;1;3;5;NA;NA;NA;NA;0;0;124;1;124;0;0;0;0;0;2,98;1,5;2,98;2,63;0,8;2,63;NA;NA;10;5;3;129;900;900;"26";0;NA;NA;243;0;0;1;"Australia";11;"Australia";"1986";".0929019999999999";"900";"Australia";"900"
"47";36;1969;"10";"L-AUL-1969-10-25";"Australia";"25-Oct-69";0;1;3;5;NA;NA;NA;NA;0;0;125;1;125;0;0;0;0;0;2,83;2,7;2,83;2,61;0;2,61;NA;NA;10;5;3;129;900;900;"25";0;NA;NA;278;0;0;1;"Australia";11;"Australia";"1986";".0929019999999999";"900";"Australia";"900"
"48";36;1993;"3";"L-AUL-1993-3-13";"Australia";"13-Mar-93";0;1;3;5;NA;NA;NA;NA;0;0;147;1;147;0;0;0;0;0;2,87;7,1;2,88;2,38;1,4;2,39;NA;NA;10;5;3;129;900;900;"13";0;NA;NA;683;0;0;1;"Australia";11;"Australia";"1986";".0929019999999999";"900";"Australia";"900"
"49";36;1963;"11";"L-AUL-1963-11-30";"Australia";"30-Nov-63";0;1;3;5;NA;NA;NA;NA;0;0;122;1;122;0;0;0;0;0;2,79;0,5;2,79;2,66;0;2,66;NA;NA;10;5;3;129;900;900;"30";0;NA;NA;204;0;0;1;"Australia";11;"Australia";"1986";".0929019999999999";"900";"Australia";"900"
"50";36;2013;"9";"L-AUL-2013-9-7";"Australia";"7-Sep-13";0;1;3;5;NA;NA;NA;NA;0;0;150;1;150;0;NA;0;0;0;3,00836;0;3,00836;2,0212;0;2,0212;NA;NA;10;5;3;129;900;900;"7";0;NA;NA;1310;0;0;1;"Australia";11;"Australia";"1986";".0929019999999999";"900";"Australia";"900"
"51";36;2016;"7";"L-AUL-2016-7-2";"Australia";"2-Jul-16";0;1;3;5;NA;NA;NA;NA;0;0;150;1;150;0;NA;0;0;0;3,214969;0;3,214969;2,133915;0;2,133915;NA;NA;10;5;3;129;900;900;"2";0;NA;NA;1410;0;0;1;"Australia";11;"Australia";"1986";".0929019999999999";"900";"Australia";"900"
"52";36;1998;"10";"L-AUL-1998-10-3";"Australia";"3-Oct-98";0;1;3;5;NA;NA;NA;NA;0;0;148;1;148;0;0;0;0;0;3,46;1,91;3,46;2,48;0,7;2,48;NA;NA;10;5;3;129;900;900;"3";0;NA;NA;814;0;0;1;"Australia";11;"Australia";"1986";".0929019999999999";"900";"Australia";"900"
"53";36;1972;"12";"L-AUL-1972-12-2";"Australia";"2-Dec-72";0;1;3;5;NA;NA;NA;NA;0;0;125;1;125;0;0;0;0;0;2,77;1,1;2,77;2,47;0;2,47;NA;NA;10;5;3;129;900;900;"2";0;NA;NA;323;0;0;1;"Australia";11;"Australia";"1986";".0929019999999999";"900";"Australia";"900"
"54";36;1974;"5";"L-AUL-1974-5-18";"Australia";"18-May-74";0;1;3;5;NA;NA;NA;NA;0;0;127;1;127;0;0;0;0;0;2,66;0,4;2,66;2,52;0;2,52;NA;NA;10;5;3;129;900;900;"18";0;NA;NA;349;0;0;1;"Australia";11;"Australia";"1986";".0929019999999999";"900";"Australia";"900"
"55";36;1996;"3";"L-AUL-1996-3-2";"Australia";"2-Mar-96";0;1;3;5;NA;NA;NA;NA;0;0;148;1;148;0;0;0;0;0;3,19;4,06;3,21;2,62;3,4;2,62;NA;NA;10;5;3;129;900;900;"2";0;NA;NA;757;0;0;1;"Australia";11;"Australia";"1986";".0929019999999999";"900";"Australia";"900"
"56";36;2001;"11";"L-AUL-2001-11-10";"Australia";"10-Nov-01";0;1;3;5;NA;NA;NA;NA;0;0;150;1;150;0;0;0;0;0;3,44;4,1;3,45000399;2,49;2;2,491241256;NA;NA;10;5;3;129;900;900;"10";0;NA;NA;896;0;0;1;"Australia";11;"Australia";"1986";".0929019999999999";"900";"Australia";"900"
"57";36;2010;"8";"L-AUL-2010-8-21";"Australia";"21-Aug-10";0;1;3;5;NA;NA;NA;NA;0;0;150;1;150;0;0;0;0;0;2,86;3,3;2,868663849;2,14;2,666666667;2,142649442;NA;NA;10;5;3;129;900;900;"21";0;NA;NA;1193;0;0;1;"Australia";11;"Australia";"1986";".0929019999999999";"900";"Australia";"900"
"58";36;2007;"11";"L-AUL-2007-11-24";"Australia";"24-Nov-07";0;1;3;5;NA;NA;NA;NA;0;0;150;1;150;0;0;0;0;0;3,03;3,2;3,038396534;2,25;1,333333333;2,25045018;NA;NA;10;5;3;129;900;900;"24";0;NA;NA;1085;0;0;1;"Australia";11;"Australia";"1986";".0929019999999999";"900";"Australia";"900"
"59";40;1956;"5";"L-AUS-1956-5-13";"Austria";"13-May-56";0;2;9;15;25;NA;NA;NA;1;1;165;6,6;25;18;10,91;4;0;0;2,48;0,1;2,48;2,23;0;2,23;NA;NA;10;10;3;101;305;305;"13";1;NA;NA;115;NA;NA;NA;"Austria";12;"Austria";"1998";".1067761823104126";"305";"Austria";"305"
"60";40;1959;"5";"L-AUS-1959-5-10";"Austria";"10-May-59";0;2;9;15;25;NA;NA;NA;1;1;165;6,6;25;20;12,12;4;0;0;2,48;0,1;2,48;2,2;0;2,2;NA;NA;10;10;3;101;305;305;"10";1;NA;NA;155;NA;NA;NA;"Austria";12;"Austria";"1998";".1067761823104126";"305";"Austria";"305"
"61";40;1953;"2";"L-AUS-1953-2-22";"Austria";"22-Feb-53";0;2;9;15;25;NA;NA;NA;1;1;165;6,6;25;24;14,55;4;0;0;2,76;0,4;2,76;2,48;0;2,48;NA;NA;10;10;3;101;305;305;"22";1;NA;NA;81;NA;NA;NA;"Austria";12;"Austria";"1998";".1067761823104126";"305";"Austria";"305"
"62";40;1983;"4";"L-AUS-1983-4-24";"Austria";"24-Apr-83";0;2;9;12;25;NA;NA;NA;1;1;183;20,33;9;19;10,38;2;0;0;2,4;0,2;2,4;2,26;0;2,26;NA;NA;10;10;3;101;305;305;"24";1;NA;NA;490;NA;NA;NA;"Austria";12;"Austria";"1998";".1067761823104126";"305";"Austria";"305"
"63";40;1986;"11";"L-AUS-1986-11-23";"Austria";"23-Nov-86";0;2;9;12;25;NA;NA;NA;1;1;183;20,33;9;21;11,48;2;0;0;2,72;0,3;2,72;2,63;0;2,63;NA;NA;10;10;3;101;305;305;"23";1;NA;NA;539;NA;NA;NA;"Austria";12;"Austria";"1998";".1067761823104126";"305";"Austria";"305"
"64";40;1949;"10";"L-AUS-1949-10-9";"Austria";"9-Oct-49";0;2;9;15;25;NA;NA;NA;1;1;165;6,6;25;21;12,73;4;0;0;2,78;0,5;2,78;2,54;0;2,54;NA;NA;10;10;3;101;305;305;"9";1;NA;NA;34;NA;NA;NA;"Austria";12;"Austria";"1998";".1067761823104126";"305";"Austria";"305"
"65";40;1979;"5";"L-AUS-1979-5-6";"Austria";"6-May-79";0;2;9;12;25;NA;NA;NA;1;1;183;20,33;9;14;7,65;2;0;0;2,28;0;2,28;2,22;0;2,22;NA;NA;10;10;3;101;305;305;"6";1;NA;NA;421;NA;NA;NA;"Austria";12;"Austria";"1998";".1067761823104126";"305";"Austria";"305"
"66";40;1995;"12";"L-AUS-1995-12-17";"Austria";"17-Dec-95";0;2;9;12;12;25;NA;NA;1;1;183;4,26;43;86;46,99;9;1;0;3,59;0;3,59;3,49;0;3,49;NA;NA;10;10;3;101;305;305;"17";1;NA;NA;738;NA;NA;NA;"Austria";12;"Austria";"1998";".1067761823104126";"305";"Austria";"305"
"67";40;1999;"10";"L-AUS-1999-10-3";"Austria";"3-Oct-99";0;2;9;12;12;25;NA;NA;1;1;183;4,26;43;84;45,9;9;1;0;3,82;0;3,82;3,41;0;3,41;NA;NA;10;10;3;101;305;305;"3";1;NA;NA;843;NA;NA;NA;"Austria";12;"Austria";"1998";".1067761823104126";"305";"Austria";"305"
"68";40;1990;"10";"L-AUS-1990-10-7";"Austria";"7-Oct-90";0;2;9;12;25;NA;NA;NA;1;1;183;20,33;9;25;13,66;2;0;0;3,17;0,5;3,17;2,99;0;2,99;NA;NA;10;10;3;101;305;305;"7";1;NA;NA;619;NA;NA;NA;"Austria";12;"Austria";"1998";".1067761823104126";"305";"Austria";"305"
"69";40;1994;"10";"L-AUS-1994-10-9";"Austria";"9-Oct-94";0;2;9;12;12;25;NA;NA;1;1;183;4,26;43;92;50,27;9;1;0;3,87;0;3,87;3,73;0;3,73;NA;NA;10;10;3;101;305;305;"9";1;NA;NA;710;NA;NA;NA;"Austria";12;"Austria";"1998";".1067761823104126";"305";"Austria";"305"
"70";40;1966;"3";"L-AUS-1966-3-6";"Austria";"6-Mar-66";0;2;9;15;25;NA;NA;NA;1;1;165;6,6;25;14;8,48;4;0;0;2,39;0;2,39;2,14;0;2,14;NA;NA;10;10;3;101;305;305;"6";1;NA;NA;244;NA;NA;NA;"Austria";12;"Austria";"1998";".1067761823104126";"305";"Austria";"305"
"71";40;1970;"3";"L-AUS-1970-3-1";"Austria";"1-Mar-70";0;2;9;15;25;NA;NA;NA;1;1;165;6,6;25;14;8,48;4;0;0;2,29;0;2,29;2,12;0;2,12;NA;NA;10;10;3;101;305;305;"1";1;NA;NA;296;NA;NA;NA;"Austria";12;"Austria";"1998";".1067761823104126";"305";"Austria";"305"
"72";40;2002;"11";"L-AUS-2002-11-24";"Austria";"24-Nov-02";0;2;9;12;12;25;NA;NA;1;1;183;4,26;43;78;42,62;9;1;0;3,02;1,07;3,020522278;2,88;0;2,88;NA;NA;10;10;3;101;305;305;"24";1;NA;NA;927;NA;NA;NA;"Austria";12;"Austria";"1998";".1067761823104126";"305";"Austria";"305"
"73";40;1962;"11";"L-AUS-1962-11-18";"Austria";"18-Nov-62";0;2;9;15;25;NA;NA;NA;1;1;165;6,6;25;17;10,3;4;0;0;2,47;0,5;2,47;2,19;0;2,19;NA;NA;10;10;3;101;305;305;"18";1;NA;NA;195;NA;NA;NA;"Austria";12;"Austria";"1998";".1067761823104126";"305";"Austria";"305"
"74";40;1975;"10";"L-AUS-1975-10-5";"Austria";"5-Oct-75";0;2;9;12;25;NA;NA;NA;1;1;183;20,33;9;12;6,56;2;0;0;2,27;0;2,27;2,21;0;2,21;NA;NA;10;10;3;101;305;305;"5";1;NA;NA;364;NA;NA;NA;"Austria";12;"Austria";"1998";".1067761823104126";"305";"Austria";"305"
